Blue-footed booby	Blue-footed_booby	Blue-footed_booby.jpg
Nazca booby	Nazca_booby	Nazca_booby.jpg
Red-footed booby	Red-footed_booby	Red-footed_booby.jpg
Magnificent frigatebird	Magnificent_frigatebird	Magnificent_frigatebird.jpg
Great frigatebird	Great_frigatebird	Great_frigatebird.jpg
Flightless cormorant	Flightless_cormorant	Flightless_cormorant.jpg
Galápagos penguin	Galápagos_penguin	Galápagos_penguin.jpg
Waved albatross	Waved_albatross	Waved_albatross.jpg
Swallow-tailed gull	Swallow-tailed_gull	Swallow-tailed_gull.jpg
Lava gull	Lava_gull	Lava_gull.jpg
Brown pelican	Brown_pelican	Brown_pelican.jpg
Brown noddy	Brown_noddy	Brown_noddy.jpg
Red-billed tropicbird	Red-billed_tropicbird	Red-billed_tropicbird.jpg
Galápagos shearwater	Galápagos_shearwater	Galápagos_shearwater.jpg
Elliot's storm petrel	White-vented_storm_petrel	White-vented_storm_petrel.jpg
Galápagos petrel	Galápagos_petrel	Galápagos_petrel.jpg
Galápagos hawk	Galápagos_hawk	Galápagos_hawk.jpg
Galápagos barn owl	Barn_owl	Barn_owl.jpg
Short-eared owl	Short-eared_owl	Short-eared_owl.jpg
Galápagos dove	Galápagos_dove	Galápagos_dove.jpg
Galápagos flycatcher	Galápagos_flycatcher	Galápagos_flycatcher.jpg
Vermilion flycatcher	Vermilion_flycatcher	Vermilion_flycatcher.jpg
Galápagos mockingbird	Galápagos_mockingbird	Galápagos_mockingbird.jpg
Española mockingbird	Española_mockingbird	Española_mockingbird.jpg
Floreana mockingbird	Floreana_mockingbird	Floreana_mockingbird.jpg
San Cristóbal mockingbird	San_Cristóbal_mockingbird	San_Cristóbal_mockingbird.jpg
Large ground finch	Large_ground_finch	Large_ground_finch.jpg
Medium ground finch	Medium_ground_finch	Medium_ground_finch.jpg
Small ground finch	Small_ground_finch	Small_ground_finch.jpg
Common cactus finch	Common_cactus_finch	Common_cactus_finch.jpg
Large cactus finch	Española_cactus_finch	Española_cactus_finch.jpg
